KO,ENG,JPN
경북대학교,Kyungpook National University,慶北大学校
경북대학교 대구캠퍼스박물관,Kyungpook National University Daegu Campus Museum,慶北大学校大邱キャンパス博物館
경북대학교치과대학,Kyungpook National University Dental College,慶北大学歯科大学
계명대학교 성서캠퍼스행소박물관,Keimyung University Sungseo Campus Action Museum,啓明大学城西キャンパス行所博物館
관덕정 순교기념관,Kwandeokjeong Martyrs' Memorial Hall,観徳亭殉教記念館
국립대구박물관,Daegu National Museum,国立大邱博物館
국채보상운동기념관,National Debt Repayment Movement Memorial Hall,国債報償運動記念館
꾸러기어린이도서관,Kkureogi Children's Library,クロギ子供図書館
꿈꾸는작은도서관,Kkeumkkuneun Small Library,夢見る小さな図書館
꿈에 그린 작은도서관,Kkeumegeurin Little Library,夢に描いた小さな図書館
꿈틀작은도서관,Kkeumteul Little Library,うごめく小さな図書館
남산4동 작은도서관,Namsan 4-dong Small Library,南山四洞小さな図書館
남산기독교종합사회복지관 작은도서관,Namsan Christian Social Welfare Center Small Library,南山キリスト教総合社会福祉館小さな図書館
대학로아트포레스트2관,Daehak-ro Art Forest Hall 2,大学路アートフォレスト2館
다사읍작은도서관,Dasa-eup Small Library,多斯邑小図書館
달서구립 도원도서관,Dalseo-gu Dowon Library,達西区立桃源図書館
달성군립도서관,Dalseong County Library,達城郡立図書館
달성군청 도서관,Dalseong-gun Office Library,達城郡庁図書館
대곡역파크드림도서관,Daegok Station Park Dream Library,大谷駅パークドリーム図書館
대구가톨릭대학교 루가캠퍼스 의과대학,Daegu Catholic University Luga Campus Medical College,大邱カトリック大学ルーガキャンパス医科大学
대구가톨릭대학교 유스티노캠퍼스,Daegu Catholic University Justinian Campus,大邱カトリック大学ユスティノキャンパス
대구가톨릭대학교 유스티노캠퍼스신학대학,Daegu Catholic University Justinian Campus Theological Seminary,大邱カトリック大学ユスティノキャンパス神学大学
대구북구어린이도서관,Daegu Buk-gu Children's Library,大邱北区子供図書館
대구공업대학교,Daegu University of Technology,大邱工業大学校
대구광역시립남부도서관,Daegu Metropolitan Southern Library,大邱広域市立南部図書館
대구광역시립달성도서관,Daegu Metropolitan City Dalseong Library,大邱広域市立達城図書館
대구광역시립대봉도서관 종합자료실,Daegu Metropolitan City Daebong Library General Archives,大邱広域市立テボン図書館総合資料室
대구광역시립 두류도서관,Daegu Duryu Library,大邱広域市立頭流図書館
대구광역시립서부도서관,Daegu Metropolitan Western Library,大邱広域市立西部図書館
대구대학교 대명동캠퍼스,Daegu University Daemyung-dong Campus,大邱大学校大明洞キャンパス
대구대학교 산업 행정대학원,Daegu University Graduate School of Industrial Administration,大邱大学校産業行政大学院
대구문화예술회관,Daegu Culture and Arts Center,大邱文化芸術会館
대구미술관,Daegu Museum of Art,大邱美術館
대구보건대학교,Daegu National University of Health,大邱保健大学校
서구문화회관,Seo-gu Cultural Center,西区文化会館
대구영화학교,Daegu Film School,大邱映画学校
씨네팔공산,Cine Palgongsan,シネパル公山
대구점자도서관,Daegu Braille Library,大邱点字図書館
대구학생문화센터 대공연장,Daegu Student Culture Center Grand Concert Hall,大邱学生文化センター大公演場
대덕문화전당,Daedeok Cultural Center,大徳文化殿堂
대한불교조계종보리사보리불교대학,Korean Buddhist Jogye Order Bori Sabori Buddhist University,大韓仏教曹渓宗菩提寺菩提仏教大学
어린이청소년도서관더불어숲,Children and Youth Library Forest,子供青少年図書館共に森
아양아트센터,Ayang Art Center,雅陽アートセンター
동원화랑,Dongwon Hwarang,東遠画廊
대구문화예술회관비슬홀,Daegu Culture and Arts Center Biseul Hall,大邱文化芸術会館ビスルホール
대구문화예술회관팔공홀,Daegu Culture and Arts Center Palgong Hall,大邱文化芸術会館パルゴンホール
민들레 문고,Mindeulle Bookstore,たんぽ文庫
월배힐스테이트(반딧불)도서관,Wolbae Hill State (Banditbul) Library,ウォルベヒルステート(ホタル)図書館
반야월 행복한 어린이도서관 아띠,Banyawol Happy Children's Library Ati,般若月 幸せな子供図書館 アティ
영진전문대학교 복현캠퍼스도서관,Youngjin College Bokhyeon Campus Library,ヨンジン専門大学福峴キャンパス図書館
봉산문화회관,Bongsan Cultural Center,鳳山文化会館
어울아트센터,Eoul Art Center,オウルアートセンター
불광대학,Bulgwang University,仏光大学
서구어린이도서관,Seo-gu Children's Library,西区子供図書館
THEWAY작은도서관,THEWAY Small Library,THEWAY小さな図書館
성당포스코the#도서관,Seongdang Posco the Sharp Library,聖堂ポスコthe#図書館
구립 물망이도서관,District Meulmangi Library,区立忘れ図書館
수성구립 용학도서관,Suseong-gu Yonghak Library,寿城区立龍鶴図書館
수성대학교,Suseong University,寿城大学校
수성아트피아,Suseong Artpia,水性アートピア
신동산문고,Shindongsan Bookstore,新東山文庫
신암2동작은도서관,Sinam 2 Dong Small Library,新岩二洞小さな図書館
신암5동 작은도서관,Sinam 5-dong Small Library,新岩五洞小さな図書館
